VTX, IDX, inPosition.x, inPosition.y, inPosition.z, inColor.x, inColor.y, inColor.z, inColor.w
0, 0, 329.03189, 91.10446, -77.42623, -77.42623, 0.00, 1.00, 1.00
1, 1, 327.77762, 91.10446, -77.24523, -77.24523, 0.00, 1.00, 1.00
2, 2, 327.77762, 91.10446, -77.24523, -77.24523, 0.00, 1.00, 1.00
3, 3, 327.75076, 92.467, -77.43136, -77.43136, 0.00, 1.00, 1.00
4, 4, 327.75076, 92.467, -77.43136, -77.43136, 0.00, 1.00, 1.00
5, 5, 329.00504, 92.467, -77.61236, -77.61236, 0.00, 1.00, 1.00
6, 6, 329.00504, 92.467, -77.61236, -77.61236, 0.00, 1.00, 1.00
7, 7, 329.03189, 91.10446, -77.42623, -77.42623, 0.00, 1.00, 1.00
8, 8, 328.78238, 90.86336, -79.1552, -79.1552, 0.00, 1.00, 1.00
9, 9, 327.52811, 90.86336, -78.97421, -78.97421, 0.00, 1.00, 1.00
10, 10, 327.52811, 90.86336, -78.97421, -78.97421, 0.00, 1.00, 1.00
11, 11, 327.50125, 92.22589, -79.16033, -79.16033, 0.00, 1.00, 1.00
12, 12, 327.50125, 92.22589, -79.16033, -79.16033, 0.00, 1.00, 1.00
13, 13, 328.75552, 92.22589, -79.34133, -79.34133, 0.00, 1.00, 1.00
14, 14, 328.75552, 92.22589, -79.34133, -79.34133, 0.00, 1.00, 1.00
15, 15, 328.78238, 90.86336, -79.1552, -79.1552, 0.00, 1.00, 1.00
16, 16, 329.03189, 91.10446, -77.42623, -77.42623, 0.00, 1.00, 1.00
17, 17, 328.78238, 90.86336, -79.1552, -79.1552, 0.00, 1.00, 1.00
18, 18, 327.77762, 91.10446, -77.24523, -77.24523, 0.00, 1.00, 1.00
19, 19, 327.52811, 90.86336, -78.97421, -78.97421, 0.00, 1.00, 1.00
20, 20, 327.75076, 92.467, -77.43136, -77.43136, 0.00, 1.00, 1.00
21, 21, 327.50125, 92.22589, -79.16033, -79.16033, 0.00, 1.00, 1.00
22, 22, 329.00504, 92.467, -77.61236, -77.61236, 0.00, 1.00, 1.00
23, 23, 328.75552, 92.22589, -79.34133, -79.34133, 0.00, 1.00, 1.00
24, 24, 327.61649, 90.97093, -79.18938, -79.18938, 1.00, 1.00, 0.00
25, 25, 328.91666, 90.97093, -79.18938, -79.18938, 1.00, 1.00, 0.00
26, 26, 328.91666, 90.97093, -79.18938, -79.18938, 1.00, 1.00, 0.00
27, 27, 328.91666, 92.35942, -79.18938, -79.18938, 1.00, 1.00, 0.00
28, 28, 328.91666, 92.35942, -79.18938, -79.18938, 1.00, 1.00, 0.00
29, 29, 327.61649, 92.35942, -79.18938, -79.18938, 1.00, 1.00, 0.00
30, 30, 327.61649, 92.35942, -79.18938, -79.18938, 1.00, 1.00, 0.00
31, 31, 327.61649, 90.97093, -79.18938, -79.18938, 1.00, 1.00, 0.00
32, 32, 327.61649, 90.97093, -77.39718, -77.39718, 1.00, 1.00, 0.00
33, 33, 328.91666, 90.97093, -77.39718, -77.39718, 1.00, 1.00, 0.00
34, 34, 328.91666, 90.97093, -77.39718, -77.39718, 1.00, 1.00, 0.00
35, 35, 328.91666, 92.35942, -77.39718, -77.39718, 1.00, 1.00, 0.00
36, 36, 328.91666, 92.35942, -77.39718, -77.39718, 1.00, 1.00, 0.00
37, 37, 327.61649, 92.35942, -77.39718, -77.39718, 1.00, 1.00, 0.00
38, 38, 327.61649, 92.35942, -77.39718, -77.39718, 1.00, 1.00, 0.00
39, 39, 327.61649, 90.97093, -77.39718, -77.39718, 1.00, 1.00, 0.00
40, 40, 327.61649, 90.97093, -79.18938, -79.18938, 1.00, 1.00, 0.00
41, 41, 327.61649, 90.97093, -77.39718, -77.39718, 1.00, 1.00, 0.00
42, 42, 328.91666, 90.97093, -79.18938, -79.18938, 1.00, 1.00, 0.00
43, 43, 328.91666, 90.97093, -77.39718, -77.39718, 1.00, 1.00, 0.00
44, 44, 328.91666, 92.35942, -79.18938, -79.18938, 1.00, 1.00, 0.00
45, 45, 328.91666, 92.35942, -77.39718, -77.39718, 1.00, 1.00, 0.00
46, 46, 327.61649, 92.35942, -79.18938, -79.18938, 1.00, 1.00, 0.00
47, 47, 327.61649, 92.35942, -77.39718, -77.39718, 1.00, 1.00, 0.00
48, 48, 247.58327, 90.08223, 55.05745, 55.05745, 0.00, 1.00, 1.00
49, 49, 246.32896, 90.08223, 55.23845, 55.23845, 0.00, 1.00, 1.00
50, 50, 246.32896, 90.08223, 55.23845, 55.23845, 0.00, 1.00, 1.00
51, 51, 246.30211, 91.44476, 55.05232, 55.05232, 0.00, 1.00, 1.00
52, 52, 246.30211, 91.44476, 55.05232, 55.05232, 0.00, 1.00, 1.00
53, 53, 247.55641, 91.44476, 54.87132, 54.87132, 0.00, 1.00, 1.00
54, 54, 247.55641, 91.44476, 54.87132, 54.87132, 0.00, 1.00, 1.00
55, 55, 247.58327, 90.08223, 55.05745, 55.05745, 0.00, 1.00, 1.00
56, 56, 247.33379, 89.84113, 53.32847, 53.32847, 0.00, 1.00, 1.00
57, 57, 246.07948, 89.84113, 53.50947, 53.50947, 0.00, 1.00, 1.00
58, 58, 246.07948, 89.84113, 53.50947, 53.50947, 0.00, 1.00, 1.00
59, 59, 246.05263, 91.20366, 53.32335, 53.32335, 0.00, 1.00, 1.00
60, 60, 246.05263, 91.20366, 53.32335, 53.32335, 0.00, 1.00, 1.00
61, 61, 247.30693, 91.20366, 53.14235, 53.14235, 0.00, 1.00, 1.00
62, 62, 247.30693, 91.20366, 53.14235, 53.14235, 0.00, 1.00, 1.00
63, 63, 247.33379, 89.84113, 53.32847, 53.32847, 0.00, 1.00, 1.00
64, 64, 247.58327, 90.08223, 55.05745, 55.05745, 0.00, 1.00, 1.00
65, 65, 247.33379, 89.84113, 53.32847, 53.32847, 0.00, 1.00, 1.00
66, 66, 246.32896, 90.08223, 55.23845, 55.23845, 0.00, 1.00, 1.00
67, 67, 246.07948, 89.84113, 53.50947, 53.50947, 0.00, 1.00, 1.00
68, 68, 246.30211, 91.44476, 55.05232, 55.05232, 0.00, 1.00, 1.00
69, 69, 246.05263, 91.20366, 53.32335, 53.32335, 0.00, 1.00, 1.00
70, 70, 247.55641, 91.44476, 54.87132, 54.87132, 0.00, 1.00, 1.00
71, 71, 247.30693, 91.20366, 53.14235, 53.14235, 0.00, 1.00, 1.00
72, 72, 246.16786, 89.9487, 53.29429, 53.29429, 1.00, 1.00, 0.00
73, 73, 247.46803, 89.9487, 53.29429, 53.29429, 1.00, 1.00, 0.00
74, 74, 247.46803, 89.9487, 53.29429, 53.29429, 1.00, 1.00, 0.00
